study_id,title,authors,year,model_architecture,model_architecture_citation,benchmark_dataset,benchmark_dataset_citation,sensor_bands,sensor_bands_citation,segmentation_accuracy,segmentation_accuracy_citation,edge_efficiency,edge_efficiency_citation,accuracy_vs_rgb,accuracy_vs_rgb_citation,crop_weed_domain,crop_weed_domain_citation,domain_shift_robustness,domain_shift_robustness_citation
10.4316/aece.2026.02005,Multispectral Feature Decomposition via Dual-Branch CNN-Transformer U-Net for Crop-Weed Semantic Segmentation,"BOUHADJER, M. E. A. and MAZARI, S. and CHIKR EL MEZOUAR, M.",2026,"Let XC  and 
XW denote the inputs of the first and second branches, for 
example two different spectral groupings or two versions of 
the same multispectral input processed by different encoder 
types",[uav-multispectral-weed-detection#abstractin#chk-1043-bf41a3-abstract-intro-14],Crop-weed semantic segmentation,,Multispectral — RGB + NIR + RedEdge,,Dice 91.73 / IoU 85.22,,0,,0,,Crop/weed,,0,
10.3390/agronomy11071435,Assessment of Weed Classification Using Hyperspectral Reflectance and Optimal Multispectral UAV Imagery,"Che’Ya, Nik Norasma and Dunwoody, Ernest and Gupta, Madan",2021,"Agronomy 2021, 11, 1435
5 of 16
2",[uav-multispectral-weed-detection#abstractin#chk-1033-37512c-abstract-intro-12],Weed classification (hyperspectral + multispectral UAV),,Hyperspectral reflectance + multispectral (UAV),,Classification (accuracy metric) — NOT segmentation,,0,,0,,Weed classification,,0,
10.1007/s11119-017-9528-3,Weed detection by UAV: simulation of the impact of spectral mixing in multispectral images,"Louargant, M. and Villette, S. and Jones, G. and Vigneau, N. and Paoli, J. N. and Gée, C.",2017,4 Acquisition chain model,[uav-multispectral-weed-detection#abstractin#chk-1010-d986ed-abstract-intro-18],Weed detection simulation (Precision Agriculture),,Multispectral,,0,,0,,0,,Weed detection,,0,
10.1002/ps.70881,ASVLB ‐Net: A lightweight network for multispectral weed segmentation with NDVI ‐guided adaptive fusion,"Dong, Zhengtong and Mu, Zhenhua and Ji, Jie and Song, Chuanming and Wang, Jianjun and Wang, Zumin",2026,"However, fundamental errors in the initial masks often propagated to the final output, limiting overall accuracy",[uav-multispectral-weed-detection#1introduct#chk-1010-3a54df-introduction-08],"In order to further verify model generalization and adaptability, we incorporated the WeedMap 45 dataset as supplementary validation",[uav-multispectral-weed-detection#36suppleme#chk-1010-3a54df-supplementary-valida-45],"In order to further verify model generalization and adaptability, we incorporated the WeedMap 45 dataset as supplementary validation",[uav-multispectral-weed-detection#36suppleme#chk-1010-3a54df-supplementary-valida-45],We conducted a stepwise ablation study to verify each module's contribution (see Table 2 and Fig,[uav-multispectral-weed-detection#321modulea#chk-1010-3a54df-module-ablation-anal-27],We conducted a stepwise ablation study to verify each module's contribution (see Table 2 and Fig,[uav-multispectral-weed-detection#321modulea#chk-1010-3a54df-module-ablation-anal-27],"The ASVLB‐Net significantly improves segmentation accuracy and robustness in unmanned aerial vehicle (UAV) multispectral imagery, offering a robust solution for precision weeding applications",[uav-multispectral-weed-detection#conclusion#chk-1010-3a54df-conclusion-04],"We use a publicly available multispectral dataset, WeedsGalore, 29 which was collected at the Marquardt Agricultural Experimental Station in Potsdam, Germany",[uav-multispectral-weed-detection#21dataset#chk-1010-3a54df-dataset-11],"This study presents ASVLB‐Net, a model designed to improve crop and weed segmentation across various growth stages in multispectral UAV imagery",[uav-multispectral-weed-detection#4conclusio#chk-1010-3a54df-conclusion-48]
10.35708/rc1869-126258,Crop and Weed Classication Using Pixel-wise Segmentation on Ground and Aerial Images,"Fawakherji, Mulham",2020,Fully connected network FCN8 [10],[uav-multispectral-weed-detection#abstractin#chk-1035-1aecba-abstract-intro-20],Sugar Beet / Sunflower (ground and aerial images),,RGB + NIR multispectral,,VGG-UNet SugarBeets mIoU 0.92 (2-class),,0,,0,,"Sugar beet, sunflower; crop/weed",,0,
10.3390/ecsa-12-26608,Federated Edge Learning for Distributed Weed Detection in Precision Agriculture Using Multimodal Sensor Fusion,"Arangi, Dasaradha and Padhy, Neelamadhab",2025,"The above figure depicts that the Hybrid Fusion model performs well in comparison to
the other models",[uav-multispectral-weed-detection#abstractin#chk-1033-689f06-abstract-intro-22],Distributed weed detection (precision agriculture),,Multimodal sensor fusion,,Detection accuracy 94.1%; F1 94.1%,,0,,0,,Weed detection (distributed/edge),,0,
10.68099/asnj.2024.79,Development of an Autonomous Weed-Weeding Robot Utilizing Edge-AI and Multispectral Computer Vision for Row-Crop Farming,"Kucharski, Kondrat and Jasińska, Natasza and Dudek, Lesława",2024,"The model was exported to TensorRT INT8 format for deployment on the Jetson Orin, 
achieving 18",[uav-multispectral-weed-detection#abstractin#chk-1068-09f2e6-abstract-intro-14],Row-crop farming (weed detection),,Multispectral (RGB + NDVI/NDRE),,mAP50 0.843; F1 0.857 (detection),,Jetson Orin NX (TensorRT INT8) latency — edge deployment,,0,,Row-crop farming; weed detection,,0,
10.3390/plants15152257,Soybean Field Weed Segmentation and Prescription Map Generation Based on SCG-UNet Fusion of UAV RGB and Multispectral Images,"Li, He and Wang, Qianyi and Yang, Zishang and Zhang, Xiuyuan and Ding, Qiming and Wang, Lele",2026,"The input features are channel-weighted to form
channel-prior features",[uav-multispectral-weed-detection#abstractin#chk-1033-9b1e0e-abstract-intro-69],Soybean field weed segmentation,,RGB + NIR (multispectral),,mIoU 83.43; mPA 92.35; Dice 79.50,,~5.51M params,,0,,Soybean (Glycine max); weed segmentation + prescription map generation,,0,
10.3390/rs15235615,Weed–Crop Segmentation in Drone Images with a Novel Encoder–Decoder Framework Enhanced via Attention Modules,"Khan, Sultan Daud and Basalamah, Saleh and Lbath, Ahmed",2023,"Generally, the proposed framework consists of two main parts: (1) Encoder
and (2) Decoder",[uav-multispectral-weed-detection#abstractin#chk-1033-3fcfb6-abstract-intro-08],Rice-weed segmentation (drone images),,Drone (UAV) imagery,,mIoU 0.81 (proposed framework),,0,,0,,Rice (Oryza); weed–crop segmentation,,0,
10.3390/rs16183538,Multispectral UAV Image Classification of Jimson Weed (Datura stramonium L.) in Common Bean (Phaseolus vulgaris L.),"Lauwers, Marlies and De Cauwer, Benny and Nuyttens, David and Maes, Wouter H. and Pieters, Jan G.",2024,Remote Sens,[uav-multispectral-weed-detection#abstractin#chk-1033-252431-abstract-intro-14],D. stramonium (Jimson weed) in common bean (Phaseolus vulgaris),,UAV multispectral,,F1 at pixel thresholding (detection),,0,,0,,Common bean (Phaseolus vulgaris); Datura stramonium weed,,0,
10.3390/s17092007,Novelty Detection Classifiers in Weed Mapping: Silybum marianum Detection on UAV Multispectral Images,"Alexandridis, Thomas and Tamouridou, Afroditi Alexandra and Pantazi, Xanthoula Eirini and Lagopodi, Anastasia and Kashefi, Javid and Ovakoglou, Georgios and Polychronos, Vassilios and Moshou, Dimitrios",2017,"They are trained
to reproduce input patterns in a mirroring sense as an output (they perform an identity operation)",[uav-multispectral-weed-detection#abstractin#chk-1033-cf7d8a-abstract-intro-17],Silybum marianum (milk thistle) weed mapping on UAV multispectral,,UAV multispectral,,Novelty detection (precision/accuracy) — NOT segmentation,,0,,0,,Silybum marianum (milk thistle) weed,,0,
10.2139/ssrn.7129570,UAV-Based Monitoring of Water Hyacinth for Invasive Weed Management: A Hybrid Detection–Segmentation Deep Learning Approach,"Wang, Zhenglin and ray, Biplob and Hassan, Jahan and Islam, Nahina and Kiran, Pali  Rushi and Rani, N. Shobha and Bhattarai, Surya",2026,"356
Empirical results showed that this strategy improved training stability",[uav-multispectral-weed-detection#abstractin#chk-1021-bc45db-abstract-intro-28],UAV-based water hyacinth monitoring (invasive weed),,UAV imagery,,Residual U-Net mIoU 0.8021,,0,,0,,Water hyacinth (Eichhornia crassipes) invasive weed,,0,
10.2139/ssrn.7345639,From barley to rapeseed: few-shot fine-tuning of semantic segmentation models for weed detection using UAV multispectral imagery,"Hernández Ludeña, Patricio  Alonso and Fernández Piñar, Carlos and López de Herrera, Juan and Herrero Tejedor, Tomás  Ramón and Pérez Martin, Enrique and Raimundo, Javier and Calderón, Jonathan",2026,"The architecture incorporates an Atrous Spatial Pyramid Pooling 
217
(ASPP) module that captures multi-scale contextual information through parallel dilated 
218
convolutions with different dilation rates, increasing the receptive field while preserving 
219
spatial resolution",[uav-multispectral-weed-detection#abstractin#chk-1021-91498f-abstract-intro-18],Barley → rapeseed (cross-crop) UAV multispectral weed detection,,UAV multispectral,,mIoU 0.5448; weed F1 0.5833; spatial val weed F1 0.6455; cross-crop transfer F1 0.0534 → few-shot ~15% labels recovery to 0.6274,,0,,0,,"Barley (Hordeum), rapeseed (Brassica napus); weed",,Cross-crop transfer collapse (F1 0.0534) → few-shot fine-tuning recovery (0.6274 at ~15% labels),
10.1109/m2garss52314.2022.9839758,Uncertainty Estimation in Deep Meta-Learning for Crop and Weed Detection from Multispectral UAV Images,"Khoshboresh-Masouleh, Mehdi and Shah-Hosseini, Reza",2022,[7] C,[uav-multispectral-weed-detection#abstractin#chk-1011-e02f24-abstract-intro-12],Crop & weed detection (multispectral UAV),,Multispectral (UAV),,mIoU 86.5/88.5 overall accuracy,,0,,0,,Crop & weed detection,,0,
10.1109/icssit69151.2026.11656575,WeedFormer: Transformer-based Crop-Weed Segmentation for UAV Imagery,"Krishna, Boggarapu Vamsi and Roshan, Mohammad and Babu, E. Akhil",2026,"Despite these difficulties, Weed-
Former achieved an IoU of 72",[uav-multispectral-weed-detection#abstractin#chk-1011-552a0b-abstract-intro-17],WeedsGalore,,Multispectral (UAV),,mIoU 80.27; F1 88.77; PA 98.81,,0,,0,,Crop/weed (WeedsGalore),,0,
